Designator,Pins
R17,2
U14,3
U10,3
U11,3
U12,3
U13,3
U15,3
U16,3
U17,3
U18,3
U5,3
U9,3
U8,3
U7,3
U6,3
U4,3
U3,3
U2,3
U1,3
J1,3
R3,2
RN13,5
C7,2
C3,2
C5,2
C9,2
C11,2
C13,2
C15,2
C17,2
C20,2
C22,2
C51,2
C57,2
C59,2
C33,2
C67,2
C53,2
C55,2
C61,2
C63,2
C65,2
U19,3
R16,2
C21,2
C34,2
C88,2
C35,2
C87,2
C36,2
C38,2
C37,2
C86,2
C85,2
C40,2
C42,2
C80,2
C43,2
C79,2
C44,2
C45,2
C46,2
C78,2
C48,2
C77,2
C47,2
C89,2
C39,2
C83,2
C84,2
C82,2
C41,2
C81,2
C32,2
C1,2
C66,2
C2,2
C64,2
C4,2
C62,2
C6,2
C60,2
C8,2
C58,2
C10,2
C56,2
C12,2
C54,2
C14,2
C52,2
C16,2
C50,2
C18,2
C49,2
C19,2
R21,2
RN18,5
RN19,5
RN21,5
RN22,5
RN26,5
RN27,5
RN30,5
RN31,5
R8,2
RN17,5
RN16,5
RN14,5
RN11,5
RN7,5
RN4,5
RN2,5
RN1,5
R15,2
R14,2
RN20,5
RN15,5
R18,2
RN12,5
R19,2
R12,2
RN25,5
RN8,5
R25,2
RN28,5
RN6,5
RN29,5
RN3,5
R27,2
R1,2
RN23,5
RN24,5
RN10,5
RN9,5
R10,2
R11,2
RN5,5
R20,2
R26,2
R24,2
R4,2
R5,2
R23,2
R6,2
R7,2
R9,2
R13,2
R2,2
R22,2
