Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"0.1uF","Capacitor","C1, C2, C3, C4, C5, C6, C7, C8, C13, C14, C16, C19, C21, C22, C23, C24, C25, C26, C28, C32, C36, C40, C42, C44, C45, C46, C47, C48, C49, C50, C51, C53, C54, C55, C56, C57, C59, C60, C62, C63, C64, C65, C66, C67, C68, C69, C70, C72, C74, C76, C77, C81, C82, C83, C84, C85, C86, C87, C88, C89","R0603","Cap","2","60"
"10uF","Capacitor","C9, C10, C11, C12, C80","R0603","Cap","2","5"
"10uF/16V","[NoValue], [NoValue], [NoValue], [NoValue], Polarized Capacitor (Radial), Polarized Capacitor (Radial), Polarized Capacitor (Radial), Polarized Capacitor (Radial), [NoValue], [NoValue], [NoValue], [NoValue]","C15, C18, C27, C31, C34, C38, C41, C52, C58, C61, C71, C73","R0805","CAP2, CAP2, CAP2, CAP2, Cap Pol1, Cap Pol1, Cap Pol1, Cap Pol1, CAP2, CAP2, CAP2, CAP2","2","12"
"0.001uF","Capacitor","C17, C20, C29, C30","R0603","Cap","2","4"
"100uF/10V","","C33","R0805","CAP2","2","1"
"22uF","Capacitor","C35, C39, C90, C91, C92","R0603","Cap","2","5"
"100uF/16V","","C37","R0805","CAP2","2","1"
"22uF/16V","","C43","R0805","CAP2","2","1"
"1uF","Capacitor","C75, C78, C79","R0603","Cap","2","3"
"ZMM5V1","","D1","SMA/DO-214A","Diode","2","1"
"LED","LED 发光二极管","D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, LED1","D0603","LED","2","11"
"SMD0805P100TS","Fuse","F1","R0805","Fuse","2","1"
"BLM18PG471SN1D","","FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, L3, R10  0R, R16  0R, R22  0R","r0603","Bead","2","12"
"DC3-10P","DC3-10P 接插件","H1","DC3-10LAY","JTAG10","10","1"
"DC-005 5.5-2.5mm","","H2","source","SOURCE","3","1"
"Header 10X2","Header, 10-Pin, Dual row","J1","HDR2X10","Header 10X2","20","1"
"VGA","","J2","VGA3","VGA","17","1"
"HDMI_A","","J3","HDMI_A","HDMI","20","1"
"USB_Mini_B","","J4","USB/SM0.8-6H5","USB_Mini","8","1"
"SW-PB","Switch","K1","SPST-2","SW-PB","2","1"
"SW-PB","Switch","K2, K3, K4, K5, SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16","KEY2","SW-PB","2","20"
"KEY_BO","","KI1","KEY_BO","KEY_BO","3","1"
"1uH","","L1, L2","PRS4018","Inductor","2","2"
"Pin_Mark","","M1, M2","Pin_Mark_ONE","Pin_Mark","1","2"
"DC3-40P","Header, 20-Pin, Dual row","P1","HDR2X20","Header 20X2","40","1"
"Header 5X2","Header, 5-Pin, Dual row","P2","HDR2X5","Header 5X2","10","1"
"Header 3","Header, 3-Pin","P3","XH2.54-3LAY","Header 3","3","1"
"10K","Resistor","R1, R2, R3, R4, R6, R7, R8, R23, R32, R33, R34, R35, R37, R38, R39, R40, R42, R52, R53, R54, R55, R56, R57, R58, R59, R60","R0603","RES","2","26"
"33R","Resistor","R5, R9, R28, R31, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78","R0603","RES","2","21"
"100K","Resistor","R11, R17","R0603","RES","2","2"
"499K","Resistor","R12, R18","R0603","RES","2","2"
"200K","Resistor","R13, R19, R20","R0603","RES","2","3"
"75R","Resistor","R14, R25, R26, R27, R29, R30","R0603","RES","2","6"
"44.2K","Resistor","R15","R0603","RES","2","1"
"4.3K","Resistor","R21, R41, R43, R44, R45, R46, R47, R48, R49, R50, R51","R0603","RES","2","11"
"510R","Resistor","R24","R0603","RES","2","1"
"4.3k/1%","Resistor","R36","R0603","RES","2","1"
"0R","Resistor","R61","R0603","RES","2","1"
"10K","Potentiometer","RP1","RPot2","RPot","3","1"
"33R","","RS1, RS2, RS3, RS4, RS5, RS6, RS7, RS8, RS9, RS10, RS11, RS12, RS13","RES4","RES4","8","13"
"Pin_Mechanical","","T1, T2, T3, T4, T5","Pin_Mechanical","Pin_Mechanical","1","5"
"Pin_Test","","TP1, TP2, TP3, TP4, TP5","Pin_Test_2.54","Pin_Test","1","5"
"EP4CE15F17C8","Cyclone IV Family FPGA, 2V Core, 165 I/O Pins, 4 PLLs, 256-Pin FBGA, Speed Grade 8, Commercial Grade","U1","FBGA256","EP4CE15F17C8","256","1"
"EPCS4SI8","EPCS4 Series, In-system programmable 3.3V serial configuration device, 8-Pin SOIC, 4-Megabit, Industrial Grade","U2","SOIC8","EPCS4SI8","8","1"
"MP2144GJ","1.2MHz, DCDC, 2A","U3, U4","SOT23-8","MP2144GJ","8","2"
"PAM3101AAA250","3.3V电压转换器AMS1117","U5","SOT23-3","AMS1117","3","1"
"MT48LC8M32/HY57V283220T","MT48LC8M32","U6","TSOP86","MT48LC8M32","86","1"
"GM7123","","U7","tqfp48","ADV7123","48","1"
"SII9022A","","U8","QFN72","SII9022A","73","1"
"STM8S103F3P6","","U9","TSSOP20","STM8S103F3P6","20","1"
"74HC595","","U10","TSSOP16","74HC595","16","1"
"LCD1602","","U11","LCD1602-2","LCD1602","16","1"
"CP2102","","U12","QFN28","CP2102","29","1"
"XTAL","Crystal","X1","XTAL_5032","XTAL","4","1"
