Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"100uF","","C1","CAP_TO5.1","CAP_POL","2","1"
"470uF","","C2","CAP_TO6.5","CAP_POL","2","1"
"220uF","","C3, C19","CAP_TO5.1","CAP_POL","2","2"
"0.1uF","","C4, C5","CAP_CBB","CAP_paster","2","2"
"0.47uF","","C6, C10","CAP_CBB","CAP_paster","2","2"
"47~90pF","","C7","CAP_0805","CAP_paster","2","1"
"0.1uF","","C8, C11, C18","CAP_0805","CAP_paster","2","3"
"0.47uF","","C9","CAP_0805","CAP_paster","2","1"
"180pF","","C12","CAP_0805","CAP_paster","2","1"
"?F","","C13, C16","CAP_0805","CAP_paster","2","2"
"20nF","","C14","CAP_0805","CAP_paster","2","1"
"820pF","","C15","CAP_0805","CAP_paster","2","1"
"100pF","","C17","CAP_0805","CAP_paster","2","1"
"?F","","C20","CAP_CBB","CAP_paster","2","1"
"Diode","二极管","D1, D4","IN4148","Diode","2","2"
"Diode_STJ","肖特基二极管","D2","SS_XX","Diode_STJ","2","1"
"Diode","二极管","D3","DIODE_C","Diode","2","1"
"HOLE","","H1, H2, H3, H4","HOLE","HOLE","1","4"
"Header_3","","J1, J3","HDR_3","Header_3","3","2"
"CONNECT_2","端子","J5, J6, J7","connect2-d","CONNECT_2","2","3"
"20uH","","L1","INDUCTOR_C","INDUCTOT","2","1"
"IRF3205","","Q1, Q2","MOSFET_N","MOSFET_N","3","2"
"PNP(9012)","PNP Bipolar Transistor","Q3","BCY-3","PNP(9012)","3","1"
"100Kohm","","R1","RES_0805","RES","2","1"
"10ohm","","R2, R9","RES_0805","RES","2","2"
"10~15Kohm","","R3","RES_0805","RES","2","1"
"1.2Kohm","","R4","RES_0805","RES","2","1"
"20Kohm","","R5, R14","RES_0805","RES","2","2"
"21.6Kohm","","R6","RES_0805","RES","2","1"
"10Kohm","","R7","RES_0805","RES","2","1"
"3Kohm","","R8, R20","RES_0805","RES","2","2"
"165Kohm","","R10","RES_0805","RES","2","1"
"1Kohm","","R11","RES_0805","RES","2","1"
"27Kohm","","R12","RES_0805","RES","2","1"
"0ohm","","R15, R17, R18","RES_0805","RES","2","3"
"10mohm","","R16","R采样（大）","RES","2","1"
"12Kohm","","R19","RES_0805","RES","2","1"
"?ohm","","R21, R22, R23, R24, R25, R26","RES_0805","RES","2","6"
"LM5117","","U1","LM5117","LM5117","21","1"
"OPA365","","U2","TO8","OPA365","8","1"
"LMV431B","","U4","SOT95P235X110-3N","LMV431B","3","1"
