Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"?F","","C1, C1_1, C2, C2_1, C3, C3_1, C4, C4_1, C5, C5_1, C6, C6_1","CAP_0805","CAP_paster","2","12"
"?F","","C7, C7_1, C8, C8_1","CAP-0603","CAP_paster","2","4"
"Header_3","","J1, J1_1","HDR_3","Header_3","3","2"
"100ohm","","R1, R1_1, R7, R7_1","RES_0805","RES","2","4"
"10Kohm","","R2, R2_1, R4, R4_1, R6, R6_1","RES_0805","RES","2","6"
"39ohm","","R3, R3_1, R5, R5_1, R9, R9_1, R11, R11_1","RES_0805","RES","2","8"
"?ohm","","R8, R8_1, R10, R10_1","RES_0805","RES","2","4"
"变压器","贴片变压器","U1, U1_1, U5, U5_1","变压器","变压器","6","4"
"LMH6401","5GHz 超宽频带数字可变增益放大器","U2, U2_1","LMH6401","LMH6401","16","2"
"SMA","","U3, U3_1, U4, U4_1","SMA接口","SMA","3","4"
