Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"22","Capacitor","C1, C2","0805C","CAP","2","2"
"104","Capacitor","C3, C4, C5, C6","0805C","CAP","2","4"
"LED2","Typical RED, GREEN, YELLOW, AMBE","D1, D2, D3","0805","LED2","2","3"
"USB_IN","","H1","USB_IN","","6","1"
"USB","","H2","USB MINI","","9","1"
"IC?","","IC1","SSOP-28","","28","1"
"Header 5","Header, 5-Pin","P1","HDR1X5","Header 5","5","1"
"100","","R1","0805R","RES2_1","2","1"
"10k","","R2, R5, R8, R9","0805R","RES2_1","2","4"
"27","","R3, R4","0805R","RES2_1","2","2"
"1.5k","","R6","0805R","RES2_1","2","1"
"5K","","R7, R10, R11","0805R","RES2_1","2","3"
"12kHz","","X1","XTAL","","2","1"
