Comment,Description,Designator,Footprint,LibRef,Quantity,Pins

"CON_IPEX","","ANT1, ANT2","ANT-JACKA-1","CON_IPEX","2","3"
"10uF","","C1, C6, C10, C11, C14, C15, C20, C21, C22, C25, C28, C32, C41, C62, C68, C69, C74, C83, C93, C128, C132, C140, C165, C189, C193, C210, C212, C222, C227, C239, C256, C263, C265, C267, C284","C0603","10uF","35","2"
"22uF","","C2, C3, C4, C7, C16, C23, C26, C31, C38, C64, C75, C82, C84, C85, C127, C131, C157","C0805","22uF","17","2"
"4.7uF","","C5, C8, C9, C12, C13, C17, C18, C19, C29, C30, C45, C46, C54, C55, C56, C102, C137, C178, C179, C203, C207, C208, C270, C272, C286","C0603","4.7uF","25","2"
"0.1uF","","C24, C27, C33, C40, C53, C57, C61, C70, C71, C72, C77, C78, C79, C80, C87, C88, C89, C90, C92, C96, C99, C100, C101, C103, C104, C130, C133, C134, C138, C139, C141, C142, C143, C144, C145, C146, C147, C149, C153, C154, C155, C156, C159, C161, C162, C163, C164, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C180, C181, C183, C184, C188, C191, C192, C194, C196, C198, C199, C201, C202, C209, C213, C215, C216, C219, C220, C221, C225, C226, C232, C233, C234, C235, C236, C241, C242, C243, C244, C245, C246, C247, C253, C254, C257, C258, C259, C260, C261, C264, C266, C268, C269, C271, C285","c0402","0.1uF","106","2"
"1uF","","C34, C35, C36, C37, C39, C42, C43, C44, C47, C48, C50, C52, C65, C66, C67, C76, C86, C94, C129, C136, C160, C185, C190, C206, C238, C282, C294","c0402","1uF","27","2"
"12pF","","C49, C51","c0402","12pF","2","2"
"22pF","","C63","c0402","22pF","1","2"
"1nF","","C73, C81, C91, C152, C158, C223, C224, C229, C230","c0402","1nF","9","2"
"10nF","","C95","c0402","10nF","1","2"
"8pF","","C97, C98, C251, C287, C288","c0402","8pF","5","2"
"0.1uF","","C135, C148, C211, C231","C0201","0.1uF","4","2"
"1nF","","C150","C0201","1nF","1","2"
"NC","","C151, C240, C255, C273, C275, C289, C291","c0402","NC","7","2"
"0.22uF","","C182","c0402","0.22uF","1","2"
"10PF","","C186, C274, C290","c0402","10PF","3","2"
"10nF","","C187","C0201","10nF","1","2"
"2.2uF","","C195, C197, C200, C204, C205","C0603","2.2uF","5","2"
"100pF","","C214, C217, C218","c0402","100pF","3","2"
"1uF","","C228","C0201","1uF","1","2"
"NC/4.7uF","","C237","C0603","NC/4.7uF","1","2"
"2.2uF/50V","","C262","C1206","2.2uF/50V","1","2"
"33pF","","C276, C277, C278, C279, C280, C281","c0402","33pF","6","2"
"2.2uF","","C283","C0402","2.2uF","1","2"
"Con8_0.5mm","","CON1","BL509-08G31","Con8_0.5mm","1","10"
"PMEG3030EP","","D1","DO214AC","PMEG3030EP","1","2"
"1N5819","","D2","SOD123","1N5819","1","2"
"IN4148","","D3","SOD323","IN4148","1","2"
"1N5819","","D4","SOD323","1N5819","1","2"
"PMEG3030EP","","D5","SOD128","PMEG3030EP","1","2"
"TESA15R0V09B1X","","ED1, ED4, ED5, ED6, ED7, ED8, ED9, ED10, ED11, ED12, ED13, ED14, ED15, ED16, ED17, ED18, ED19, ED20, ED21, ED22, ED23, ED24","E0201","TESA15R0V09B1X","22","2"
"TEPB0R2V12B1X","","ED2, ED3","E0402N","TEPB0R2V12B1X","2","2"
"NC","","FB1","L0603D","NC","1","4"
"600R100M","","FB2, FB3, FB4, FB5","L0402","600R100M","4","2"
"0R","","FB6","L0603","0R","1","2"
"505004-0810","","J1","505004-0810","505004-0810","1","12"
"USB","","J2","MICRO_USB_DIP","USB","1","9"
"BL509-04G31","","J3","BL509-04G31","BL509-04G31","1","6"
"TF_SD_SOCKET","","J4","TF-CARDKLJ07002","TF_SD_SOCKET","1","15"
"PHONEJACK","","J5","J301R05GA6ZL2","PHONEJACK","1","5"
"78171-0004","","J6","78171-0004","78171-0004","1","6"
"AA07-P032VA1","","J7","AA07P032VA1N","AA07-P032VA1","1","36"
"0.33uH/5A","","L1, L2","IND-4X4","0.33uH/5A","2","2"
"1uH/1.5A","","L3, L4, L5, L6, L7","IND-3X3","1uH/1.5A","5","2"
"1uH/3A","","L8","IND-5X5","1uH/3A","1","2"
"4.7uH/2.5A","","L9","IND-3X3","4.7uH/2.5A","1","2"
"15uH/1.5A","","L10","IND-5X5","15uH/1.5A","1","2"
"BLM18PG181SN1","","L11","L0603","BLM18PG181SN1","1","2"
