Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"Cap","Capacitor","C1, C3, C5, C6, C8, C11, C13, C15, C16, C19, C21, C23, C25, C26, C28, C30, C32, C34, C35, C37, C39, C41, C43, C44, C46, C48, C50, C52, C53, C55, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C73, C74, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C179","C-0805","Cap","2","84"
"","Capacitor","C2, C4, C12, C14, C22, C24, C31, C33, C40, C42, C49, C51","C-1206[3216[]","Cap","2","12"
"","Capacitor","C7, C9, C18, C20, C27, C29, C36, C38, C45, C47, C54, C56","C-0805","Cap","2","12"
"1uF","","C10","C-0805","C1","2","1"
"100nF","","C17","C-0805","C1","2","1"
"C-Pol","Polarized Capacitor (Surface Mount)","C70, C72, C121, C128, C136, C142, C149, C155","6032","C-Pol","2","8"
"C-Pol","Polarized Capacitor (Surface Mount)","C71","7343","C-Pol","2","1"
"C-Pol","Polarized Capacitor (Surface Mount)","C75","3528","C-Pol","2","1"
"","Capacitor","C76, C77, C180, C182","C2220","Cap","2","4"
"10NF","CAP","C116, C119","C-0805","CAPE","2","2"
"100NF","Capacitor","C117, C118, C120, C162, C163","R-0805","Cap","2","5"
"100nF","","C122, C123, C124, C125, C126, C127, C130, C131, C132, C133, C134, C135, C137, C138, C139, C140, C141, C143, C144, C145, C146, C147, C148, C152, C159, C167, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178","C-0603","C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C0603, C1_1, C1_1, C1_1, C1_1, C1_1, C1_1, C1_1, C1_1","2","36"
"4.7uF","","C129, C150, C156, C166","C-0603","C0603","2","4"
"470nF","","C151, C157, C158","C-0603","C0603","2","3"
"10nF","","C153, C160, C168","C-0603","C0603","2","3"
"1nF","","C154, C161","C-0603","C0603","2","2"
"10PF","Capacitor","C164, C165","R-0805","Cap","2","2"
"10UF","Bi-Polar Capacitor","C181","7343","CAP2","2","1"
"10NF","CAP","C183","C-1206[3216[]","CAPE","2","1"
"15pF","Capacitor","C184, C185","C-1206[3216[]","Cap","2","2"
"PESD1CAN","","CR1","SOT23-L","PESD1CAN","3","1"
"BAS40-4","","CR6","SOT23","BAS","3","1"
"YELLOW","Typical BLUE SiC LED","D1, D2, D3, D4","LED0805_MAX","LED3","2","4"
"GREEN","Typical BLUE SiC LED","DS1, DS2","LED","LED3","2","2"
"LED","Typical BLUE SiC LED","DS3","LED0805","LED3","2","1"
"JTAG_CONNECTOR","","J1","HDR1X6","JTAG_CONNECTOR","6","1"
"F48","","J2","0906148X951","F48_CONNECTOR","50","1"
"4.7uH","Inductor","L1","R-0805","Inductor","2","1"
"4.7-12uH","","L2","R-0805","BLM21P221SN","2","1"
"BLM21P221SN","110021010022700, Inductor, Inductor, Inductor, [NoValue], [NoValue]","L3, L4, L5, L6, L8, L10","R-0805","INDUCTOR1, Inductor, Inductor, Inductor, BLM21P221SN, BLM21P221SN","2","6"
"6.8uH","","L7","R-0805","BLM21P221SN","2","1"
"BLM31PG121SN1L","Inductor","L9","R-1206[3216]","Inductor","2","1"
"09 03 196 2921","Eurocard DIN 41612, Type C, 96 Position, Rows a+b+c, Performance level 1, Male, Lead 3.0 mm, Pitch 2.54 mm","P1","CNVME96","09 03 196 2921","98","1"
"MMBT2222A","NPN Switching Transistor","Q1, Q2","SOT23-L","MMBT2222A","3","2"
"Res2","Resistor","R1, R2, R3, R4, R5, R6, R7, R14, R15, R17, R18, R19, R21, R25, R26, R27, R30, R31, R32, R33, R42, R43, R45, R46, R47, R49, R51, R52, R53, R54, R55, R56, R57, R64, R65, R67, R68, R69, R71, R73, R74, R75, R76, R77, R78, R79, R86, R87, R89, R90, R91, R93, R95, R96, R97, R98, R99, R100, R101, R108, R109, R111, R112, R113, R115, R117, R118, R119, R120, R121, R122, R123, R130, R131, R133, R134, R135, R137, R150, R151, R160, R161, R162, R163, R164, R167, R169, R170, R171, R172, R173, R176, R178, R179, R180, R181, R182, R183, R184, R185, R186, R187, R188, R189, R190, R191, R192, R193, R194, R195, R196, R197, R198, R199, R200, R201, R202, R203","R-1206[3216]","Res2","2","118"
"NC","Resistor","R8, R13, R34, R41, R58, R63, R80, R85, R102, R107, R124, R129, R168, R177, R213, R261, R262, R268, R272","R-0805","Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2_2, Res2, Res2, Res2, Res2, Res2","2","19"
"Res2","Resistor","R9, R16, R20, R22, R23, R24, R28, R29, R35, R39, R40, R44, R48, R50, R59, R66, R70, R72, R81, R88, R92, R94, R103, R110, R114, R116, R125, R132, R136, R138, R156, R157, R158, R159","R-0805","Res2","2","34"
"Res2","Resistor","R10, R11, R36, R37, R60, R61, R82, R83, R104, R105, R126, R127","RAD-0.7","Res2","2","12"
