Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"Header 2X3","Header 2X3","3V3","HDR2X3","Header 2X3","6","1"
"Header 3","Header, 3-Pin","5V","HDR1X3","Header 3","3","1"
"AMS1117","1117系列降压芯片","AMS117_3.3V","SOT223","AMS1117","3","1"
"?F","","C1, C5","CAP_0805","CAP_paster","2","2"
"Cap Pol3","Polarized Capacitor (Surface Mount)","C2, C3, C8, C13, C14, C15, C16","0805","Cap Pol3","2","7"
"Cap Semi","Capacitor (Semiconductor SIM Model)","C4, C26, C28","0805","Cap Semi","2","3"
"Cap Pol1","Polarized Capacitor (Radial)","C29","C7343","Cap Pol1","2","1"
"LED2","Typical RED GaAs LED","D_POWER","0805_LED","LED1","2","1"
"Header 6","Header 6","GND","HDR1X6","Header 6","6","1"
"CON3*2","Header, 3-Pin, Dual row","J7","HDR2X3","Header 3X2","6","1"
"anjian","","KEY_P","自锁按键","anjian","6","1"
"LED1","Typical RED GaAs LED","LED1","0805_LED","LED1","2","1"
"Header 14X2","Header, 14-Pin, Dual row","P1, P2, P4","HDR2X14","Header 14X2","28","3"
"Header 14X2A","Header, 14-Pin, Dual row","P3","HDR2X14_CEN","Header 14X2A","28","1"
"Header 2","Header, 2-Pin","POWER","HDR1X2","Header 2","2","1"
"Res Thermal","Thermistor","R1","0805","Res Thermal","2","1"
"Res3","Resistor","R2, R6","0805","Res3","2","2"
"Res2","Resistor","R8, R9","0805","Res2","2","2"
"REF5030","电压基准","REF50XX","TO8","REF50XX","8","1"
"BUTTON","","S3","KEY-SMD1","BUTTON","2","1"
"STM32F103ZET6","","U2","LQFP-144","STM32F103ZET6","144","1"
"Wireless","无线模块","wireless","Wireless","Wireless","8","1"
"8M","","Y1","XTAL1","XTAL1","2","1"
