Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"IR2104","","*1","SOP8","Component_1","8","1"
"Cap2","Capacitor","C1, C2, C12, C13, C14","CAP4MM","Cap2","2","5"
"Cap Pol1","Polarized Capacitor (Radial)","C3, C4","C10x16","Cap Pol1","2","2"
"50V/47uF","Polarized Capacitor (Radial)","C5","C6X8","Cap Pol1","2","1"
"Cap","Capacitor","C6, C10","C0805","Cap","2","2"
"Cap","Capacitor","C7, C8, C11","CAP4MM","Cap","2","3"
"50V/22uF","Polarized Capacitor (Radial)","C9","C6X8","Cap Pol1","2","1"
"470uF/50V","CAP_DIP","C15, C16","C10x16","CAP_DIP","2","2"
"CAP_0805","CAP_0805","C17","C0805","CAP_0805","2","1"
"CAP_0805","CAP_0805","C18, C19, C20, C21, C22","CAP4MM","CAP_0805","2","5"
"FR107","Default Diode","D1","AXIAL-0.1-R","Diode","2","1"
"H-2","Header, 2-Pin","JP1, JP2, JP3, Vout''/1, Vout/1","2PIN-5.08","H-2","2","5"
"400uH","","L1","INDUCT","L101","2","1"
"225uH","电感","L2","INDUCT","INDUCTOR","2","1"
"CSD19533KCS","N-Channel MOSFET","Q1, Q2","TO220_3","MOSFET-N","3","2"
"cizhu","Resistor","R1","R0805","Res1","2","1"
"Res1","Resistor","R2, R5, R6, R7, R14, R16","R0805","Res1","2","6"
"Res","Resistor","R3, R8, R9, R10, R12, R15, R17","R0805","Res","2","7"
"10R","0805电阻","R4, R13","R0805","Res","2","2"
"47K","0805电阻","R11","R0805","Res","2","1"
"1.1K","0805电阻","R18","R0805","Res","2","1"
"Res Adj Pot Small","Potentiometer","RP1","3296W","Res Adj Pot Small","3","1"
"TL494CD","Pulse-Width-Modulation Control Circuit","U1","DIP16","TL494CD","16","1"
